"Código Liquidação";"Código Liquidação Resumido";"Data Emissão";"Código Tipo Documento";"Tipo Documento";"Código Órgão Superior";"Órgão Superior";"Código Órgão";"Órgão";"Código Unidade Gestora";"Unidade Gestora";"Código Gestão";"Gestão";"Código Favorecido";"Favorecido";"Observação";"Código Categoria de Despesa";"Categoria de Despesa";"Código Grupo de Despesa";"Grupo de Despesa";"Código Modalidade de Aplicação";"Modalidade de Aplicação";"Código Elemento de Despesa";"Elemento de Despesa";"Código Plano Orçamentário";"Plano Orçamentário";"Código Programa Governo";"Nome Programa Governo"
"390079392522020NS000030";"2020NS000030";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"39000";"Ministério da Infraestrutura";"39252";"Departamento Nacional de Infraestrutura de Tr";"390079";"ADMINISTRAÇÃO DA HIDROVIA DO PARAGUAI";"39252";"DEPTO. NAC. DE INFRA­ESTRUTURA DE TRANSPORTES";"12656408000103";"IDEAL SERVICOS LTDA";"LIQUIDACAO DAS DESPESAS DA NOTA FISCAL N.1856 EMITIDAS PELA EMPRESA IDEAL SERVICOS LTDA-ME, REFERENTE AO PAGAMENTO MES DE DEZEMBRO/2019, PRESTACAO DE SERVICO DE JARDINAGEM, PARA A SEDE DA AHIPAR LADARIO/MS, DO CONTRATO N.718/2017, PROC. 50016.000027/2019-10.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"37";"Locação de Mão-de-Obra";"-1";"Sem informação";"-1";"Sem informação"
"413010412312020NS000095";"2020NS000095";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"41231";"Agêncial Nacional de Telecomunicações";"413010";"AGENCIA NACIONAL DE TELECOMUNICACOES-CE";"41231";"AGENCIA NACIONAL DE TELECOMUNICACOES";"05807475000108";"SEGINFO COMERCIO & SERVICOS EMPRESARIAIS EIRELI";"NOTA DE LANCAMENTO GERADA PELO SIADS ATRAVES DE ENTRADA DE MATERIAL PERMANENTE - COMPRA ENTRADA 1221/1 UG DE ORIGEM 413010.";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"90";"Reserva de Contingência";"52";"Equipamentos e Material Permanente";"0000";"ADMINISTRACAO DA UNIDADE - DESPESAS DIVERSAS";"00";"NAO ATRIBUIDO"
"135082132032020NS000071";"2020NS000071";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135082";"EMBRAPA/CPACP";"13203";"EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA";"11029232000199";"S H VIGILANCIA E SEGURANCA EIRELI";"REGULARIZACAO DA CONTA 2.1.8.8.1.01.09 (ISS), CONFORME ORIENTACAO CONSTANTE NO DOCUMENTO DESPACHO Nº 2585666, DO PROCESSO SEI Nº 21148.004287/2019-61";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"37";"Locação de Mão-de-Obra";"0002";"P&D EM SISTEMAS INOVADORES PARA A PRODUCAO AGROPECUARIA SUSTENTAVEL";"00";"NAO ATRIBUIDO"
"120628000012020NS000090";"2020NS000090";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120628";"GRUPAMENTO DE APOIO DE BELÉM";"00001";"TESOURO NACIONAL";"40432544000147";"CLARO S.A.";"APL: ALA 9 - NF 19/12/20004377-6 DE 01/12/2019  UG. 120654 ALA 9 PROCESSO 67215.016841/2017-41 CONTRATO 017/GAPBE-ALA9/2019";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0002";"MANUTENCAO GERAL";"00";"NAO ATRIBUIDO"
"135082132032020NS000058";"2020NS000058";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135082";"EMBRAPA/CPACP";"13203";"EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA";"02162566000145";"CCL HIDRAULICA LTDA";"REGULARIZACAO DA CONTA 2.1.8.8.1.01.09 (ISS), CONFORME ORIENTACAO CONSTANTE NO DOCUMENTO DESPACHO Nº 2585666, DO PROCESSO SEI Nº 21148.004287/2019-61";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0003";"P&D PARA A SUSTENTABILIDADE DO AGRONEGOCIO E SUA ADAPTACAO AS MUDANCAS AMBIENTAIS GLOBAIS";"00";"NAO ATRIBUIDO"
"110097000012020NS000361";"2020NS000361";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"00001";"TESOURO NACIONAL";"26889274000177";"S.M GUIMARAES";"NOTA DE LANCAMENTO GERADA PELO SIADS ATRAVES DE ENTRADA DE MATERIAL DE CONSUMO - COMPRA ENTRADA 1065/1 UG DE ORIGEM 110097.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"2000";"DESPESAS ADMINISTRATIVAS";"00";"NAO ATRIBUIDO"
"120629000012020NS000785";"2020NS000785";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"00001";"TESOURO NACIONAL";"28094497000173";"FRANCINE GIANA GUIDO E CIA LTDA";"APL: GAP-CO - NF 2299 DE 03/12/2019  UG. 120629 GAP-CO PROCESSO 67278.008694/2018-81. NOTA FISCAL EMITIDA EM 03/12/2019 E RECEBIDA EM 16/12/2019, POREM, LANCADA A POSTERIOR DEVIDO A DATA DE FECHAMENTO DOS SISTEMAS.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"0006";"ALIMENTACAO DE MILITARES EM RANCHO";"00";"NAO ATRIBUIDO"
"390079392522020NS000026";"2020NS000026";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"39000";"Ministério da Infraestrutura";"39252";"Departamento Nacional de Infraestrutura de Tr";"390079";"ADMINISTRAÇÃO DA HIDROVIA DO PARAGUAI";"39252";"DEPTO. NAC. DE INFRA­ESTRUTURA DE TRANSPORTES";"12656408000103";"IDEAL SERVICOS LTDA";"LIQUIDACAO DAS DESPESAS DAS NOTA FISCAL N.1860, EMITIDA PELA EMPRESA IDEAL SERVICOS LTDA-ME, REFERENTE AO PAGAMENTO MES DE DEZEMBRO/2019, PRESTACAO DE SERVICO DE OFICIAL DE MANUTENCAO, COPEIRAGEM E JARDINAGEM, PARA A SEDE DA AHIPAR CORUMBA/MS, DO CONTRATO N.718/2017, PROC. 50016.000027/2019-10.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"37";"Locação de Mão-de-Obra";"-1";"Sem informação";"-1";"Sem informação"
"413010412312020NS000093";"2020NS000093";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"41231";"Agêncial Nacional de Telecomunicações";"413010";"AGENCIA NACIONAL DE TELECOMUNICACOES-CE";"41231";"AGENCIA NACIONAL DE TELECOMUNICACOES";"32191212000190";"QUERUBIM COMERCIO VAREJISTA DE EQUIPAMENTOS EIRELI";"NOTA DE LANCAMENTO GERADA PELO SIADS ATRAVES DE ENTRADA DE MATERIAL PERMANENTE - COMPRA ENTRADA 112/1 UG DE ORIGEM 413010.";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"90";"Reserva de Contingência";"52";"Equipamentos e Material Permanente";"0000";"ADMINISTRACAO DA UNIDADE - DESPESAS DIVERSAS";"00";"NAO ATRIBUIDO"
"135082132032020NS000068";"2020NS000068";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135082";"EMBRAPA/CPACP";"13203";"EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA";"02162566000145";"CCL HIDRAULICA LTDA";"REGULARIZACAO DA CONTA 2.1.8.8.1.01.09 (ISS), CONFORME ORIENTACAO CONSTANTE NO DOCUMENTO DESPACHO Nº 2585666, DO PROCESSO SEI Nº 21148.004287/2019-61";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0002";"P&D EM SISTEMAS INOVADORES PARA A PRODUCAO AGROPECUARIA SUSTENTAVEL";"00";"NAO ATRIBUIDO"
"110097000012020NS000358";"2020NS000358";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"00001";"TESOURO NACIONAL";"33578868000122";"GABRIELA BRESOLIN";"NOTA DE LANCAMENTO GERADA PELO SIADS ATRAVES DE ENTRADA DE MATERIAL DE CONSUMO - COMPRA ENTRADA 36/1 UG DE ORIGEM 110097.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"2000";"DESPESAS ADMINISTRATIVAS";"00";"NAO ATRIBUIDO"
"120629000012020NS000582";"2020NS000582";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"00001";"TESOURO NACIONAL";"05786780000160";"MARIA ALBERTINA AVILA SOARES - ME";"APL: GAP-CO - NF 5102 DE 15/12/2019  UG. 120629 GAP-CO PROCESSO 67278.005998/2018-97.  NF DO DIA 15/12/2019, A ALTERACAO SE DA DEVIDO AO FECHAMENTO DO SISTEMA, ONDE O MESMO NAO PERMITE LANCAR COM A DATA RETROATIVA.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"0006";"ALIMENTACAO DE MILITARES EM RANCHO";"00";"NAO ATRIBUIDO"
"390079392522020NS000023";"2020NS000023";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"39000";"Ministério da Infraestrutura";"39252";"Departamento Nacional de Infraestrutura de Tr";"390079";"ADMINISTRAÇÃO DA HIDROVIA DO PARAGUAI";"39252";"DEPTO. NAC. DE INFRA­ESTRUTURA DE TRANSPORTES";"12656408000103";"IDEAL SERVICOS LTDA";"LIQUIDACAO DAS DESPESAS DA NOTA FISCAL N.1853, EMITIDA PELA EMPRESA IDEAL SERVICOS LTDA-ME, REFERENTE AO PAGAMENTO MES DE DEZEMBRO/2019, PRESTACAO DE SERVICO DE ASSEIO E CONSERVACAO, PARA A SEDE DA AHIPAR CORUMBA/MS, DO CONTRATO N.718/2017, PROC. 50016.000027/2019-10.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"37";"Locação de Mão-de-Obra";"-1";"Sem informação";"-1";"Sem informação"
"413010412312020NS000101";"2020NS000101";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"41231";"Agêncial Nacional de Telecomunicações";"413010";"AGENCIA NACIONAL DE TELECOMUNICACOES-CE";"41231";"AGENCIA NACIONAL DE TELECOMUNICACOES";"15282550000118";"SPENCER COMERCIO DE EQUIPAMENTOS INDUSTRIAIS E SERVICOS";"NOTA DE LANCAMENTO GERADA PELO SIADS ATRAVES DE ENTRADA DE MATERIAL PERMANENTE - COMPRA ENTRADA 371/1 UG DE ORIGEM 413010.";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"90";"Reserva de Contingência";"52";"Equipamentos e Material Permanente";"0000";"ADMINISTRACAO DA UNIDADE - DESPESAS DIVERSAS";"00";"NAO ATRIBUIDO"
"135082132032020NS000067";"2020NS000067";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135082";"EMBRAPA/CPACP";"13203";"EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA";"02162566000145";"CCL HIDRAULICA LTDA";"REGULARIZACAO DA CONTA 2.1.8.8.1.01.09 (ISS), CONFORME ORIENTACAO CONSTANTE NO DOCUMENTO DESPACHO Nº 2585666, DO PROCESSO SEI Nº 21148.004287/2019-61";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0002";"P&D EM SISTEMAS INOVADORES PARA A PRODUCAO AGROPECUARIA SUSTENTAVEL";"00";"NAO ATRIBUIDO"
"110097000012020NS000423";"2020NS000423";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"00001";"TESOURO NACIONAL";"08403209000108";"MARCELO PEREIRA PERES";"NOTA DE LANCAMENTO GERADA PELO SIADS ATRAVES DE ENTRADA DE MATERIAL DE CONSUMO - IMEDIATO ENTRADA 27462640/890 UG DE ORIGEM 110097.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"2000";"DESPESAS ADMINISTRATIVAS";"00";"NAO ATRIBUIDO"
"120629000012020NS000559";"2020NS000559";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"00001";"TESOURO NACIONAL";"28337943000123";"CA COMERCIO DE ALIMENTOS EIRELI";"APL:GAP-CO NF 5452 DE 23/12/19  UG 120629 GAP-CO PRO: 67278.008694/2018-81. NF EMITIDA EM 23/12/19 E RECEBIDA EM 26/12/19, POREM, LANCADA A POSTERIOR DEVIDO A DATA DE FECH. DOS SISTEMAS. DT DE EMISSAO ALTERADA, O SISTEMA NAO ACEITA.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"0006";"ALIMENTACAO DE MILITARES EM RANCHO";"00";"NAO ATRIBUIDO"
"158413264112020NS000083";"2020NS000083";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26411";"Instituto Federal do Sudeste de Minas Gerais";"158413";"INST FED SUDESTE DE MG/CAMPUS BARBACENA";"26411";"INST.FED.DE EDUC.,CIENC.E TEC.DO SUDESTE MG";"06981180000116";"CEMIG DISTRIBUICAO S.A";"PAGAMENTO DA FATURA 035582322 - FORNECIMENTO DE ENERGIA ELETRICA - NAO OPTANTE - RETENCAO DE 5,85 - REFERENTE A JANEIRO DE 2020";"MU";"Múltiplo";"MU";"Múltiplo";"MU";"Múltiplo";"MU";"Múltiplo";"-1";"Sem informação";"-1";"Sem informação"
"413010412312020NS000094";"2020NS000094";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"41231";"Agêncial Nacional de Telecomunicações";"413010";"AGENCIA NACIONAL DE TELECOMUNICACOES-CE";"41231";"AGENCIA NACIONAL DE TELECOMUNICACOES";"32191212000190";"QUERUBIM COMERCIO VAREJISTA DE EQUIPAMENTOS EIRELI";"NOTA DE LANCAMENTO GERADA PELO SIADS ATRAVES DE ENTRADA DE MATERIAL PERMANENTE - COMPRA ENTRADA 113/1 UG DE ORIGEM 413010.";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"90";"Reserva de Contingência";"52";"Equipamentos e Material Permanente";"0000";"ADMINISTRACAO DA UNIDADE - DESPESAS DIVERSAS";"00";"NAO ATRIBUIDO"
"135082132032020NS000065";"2020NS000065";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135082";"EMBRAPA/CPACP";"13203";"EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA";"02310368000181";"C. QUEIROZ FERREIRA";"REGULARIZACAO DA CONTA 2.1.8.8.1.01.09 (ISS), CONFORME ORIENTACAO CONSTANTE NO DOCUMENTO DESPACHO Nº 2585666, DO PROCESSO SEI Nº 21148.004287/2019-61";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0002";"P&D EM SISTEMAS INOVADORES PARA A PRODUCAO AGROPECUARIA SUSTENTAVEL";"00";"NAO ATRIBUIDO"
"110097000012020NS000359";"2020NS000359";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"00001";"TESOURO NACIONAL";"03605205000199";"COMERCIAL SIMONI LTDA - EPP";"NOTA DE LANCAMENTO GERADA PELO SIADS ATRAVES DE ENTRADA DE MATERIAL DE CONSUMO - IMEDIATO ENTRADA 25061/1 UG DE ORIGEM 110097.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"2000";"DESPESAS ADMINISTRATIVAS";"00";"NAO ATRIBUIDO"
"120629000012020NS000602";"2020NS000602";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"00001";"TESOURO NACIONAL";"28337943000123";"CA COMERCIO DE ALIMENTOS EIRELI";"APL:GAP-CO NF 000005254 DE 11/12/19  UG 120629 GAP-CO PRO: 67278.005998/2018-97. NF EMITIDA 07/12/19 E RECEBIDA 11/12/19, POREM, LANCADA A POSTERIOR DEVIDO A DATA DE FECH. DOS SISTEMAS. DT DE EMISSAO ALTERADA, O SISTEMA NAO ACEITA.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"0006";"ALIMENTACAO DE MILITARES EM RANCHO";"00";"NAO ATRIBUIDO"
"155001152752020NS001016";"2020NS001016";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"***.346.580-**";"CARLA CRISTINE COSTA";"APROP DA PROPOSTA DE CONCESSAO SF DE CARLA CRISTINE COSTA, PERIODO DE 01/01 A 24/01/2020, SENDO R$300,00 PARA DESPESAS DE CONSUMO.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"-1";"Sem informação";"-1";"Sem informação"
"413010412312020NS000135";"2020NS000135";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"41231";"Agêncial Nacional de Telecomunicações";"413010";"AGENCIA NACIONAL DE TELECOMUNICACOES-CE";"41231";"AGENCIA NACIONAL DE TELECOMUNICACOES";"05807475000108";"SEGINFO COMERCIO & SERVICOS EMPRESARIAIS EIRELI";"NOTA DE LANCAMENTO GERADA PELO SIADS ATRAVES DE ENTRADA DE MATERIAL PERMANENTE - COMPRA ENTRADA 1249/1 UG DE ORIGEM 413010.";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"90";"Reserva de Contingência";"52";"Equipamentos e Material Permanente";"0000";"ADMINISTRACAO DA UNIDADE - DESPESAS DIVERSAS";"00";"NAO ATRIBUIDO"
"135082132032020NS000060";"2020NS000060";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135082";"EMBRAPA/CPACP";"13203";"EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA";"02310368000181";"C. QUEIROZ FERREIRA";"REGULARIZACAO DA CONTA 2.1.8.8.1.01.09 (ISS), CONFORME ORIENTACAO CONSTANTE NO DOCUMENTO DESPACHO Nº 2585666, DO PROCESSO SEI Nº 21148.004287/2019-61";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0002";"P&D EM SISTEMAS INOVADORES PARA A PRODUCAO AGROPECUARIA SUSTENTAVEL";"00";"NAO ATRIBUIDO"
"120629000012020NS000561";"2020NS000561";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"00001";"TESOURO NACIONAL";"14465067000106";"CENTRAL DISTRIBUIDORA E COMERCIO DE PRODUTOS LTDA";"APL:GAP-CO NF 6850 DE 26/12/19  UG 120629 GAP-CO PRO: 67278.008694/2018-81. NF EMITIDA 24/12/19 E RECEBIDA 26/12/19, POREM, LANCADA A POSTERIOR DEVIDO A DATA DE FECH. DOS SISTEMAS. DT DE EMISSAO ALTERADA, O SISTEMA NAO ACEITA.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"0006";"ALIMENTACAO DE MILITARES EM RANCHO";"00";"NAO ATRIBUIDO"
"155001152752020NS000966";"2020NS000966";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"***.773.990-**";"ELISANDRO MOURA DA SILVA";"APROP DA PROPOSTA DE CONCESSAO SF DE ELISANDRO MOURA DA SILVA, PERIODO DE 01/01 A 24/01/2020, SENDO R$ 4.000,00 PARA DESP. CONSUMO E R$ 1.000,00 PARA DESP. PREST. SERVICO.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"MU";"Múltiplo";"-1";"Sem informação";"-1";"Sem informação"
"413010412312020NS000092";"2020NS000092";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"41231";"Agêncial Nacional de Telecomunicações";"413010";"AGENCIA NACIONAL DE TELECOMUNICACOES-CE";"41231";"AGENCIA NACIONAL DE TELECOMUNICACOES";"11502318000197";"CARVALHO MIRANDA EMPREENDIMENTOS EIRELI";"NOTA DE LANCAMENTO GERADA PELO SIADS ATRAVES DE ENTRADA DE MATERIAL PERMANENTE - COMPRA ENTRADA 390/000 UG DE ORIGEM 413010.";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"90";"Reserva de Contingência";"52";"Equipamentos e Material Permanente";"0000";"ADMINISTRACAO DA UNIDADE - DESPESAS DIVERSAS";"00";"NAO ATRIBUIDO"
"135082132032020NS000061";"2020NS000061";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135082";"EMBRAPA/CPACP";"13203";"EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA";"02310368000181";"C. QUEIROZ FERREIRA";"REGULARIZACAO DA CONTA 2.1.8.8.1.01.09 (ISS), CONFORME ORIENTACAO CONSTANTE NO DOCUMENTO DESPACHO Nº 2585666, DO PROCESSO SEI Nº 21148.004287/2019-61";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"0002";"P&D EM SISTEMAS INOVADORES PARA A PRODUCAO AGROPECUARIA SUSTENTAVEL";"00";"NAO ATRIBUIDO"
"120629000012020NS000614";"2020NS000614";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"00001";"TESOURO NACIONAL";"14465067000106";"CENTRAL DISTRIBUIDORA E COMERCIO DE PRODUTOS LTDA";"APL: GAP-CO - NF 6829 DE 11/12/2019  UG. 120629 GAP-CO PROCESSO 67278.008694/2018-81.  NF DO DIA 11/12/2019, A ALTERACAO SE DA DEVIDO AO FECHAMENTO DO SISTEMA, ONDE O MESMO NAO PERMITE LANCAR COM A DATA RETROATIVA.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"0006";"ALIMENTACAO DE MILITARES EM RANCHO";"00";"NAO ATRIBUIDO"
"155001152752020NS011128";"2020NS011128";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"26000";"Ministério da Educação";"26294";"Hospital de Clínicas de Porto Alegre";"155001";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"15275";"HOSPITAL DE CLINICAS DE PORTO ALEGRE";"***.773.990-**";"ELISANDRO MOURA DA SILVA";"AJUSTE DA RECLASSIFICACAO DA DESPESA SF 239/2019, DEVIDO A COMPLEMENTACAO DE VALOR DA FATURA REALIZADA A MAIOR DO SUPRIDO ELIZANDRO MOURA DA SILVA.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"39";"Outros Serviços de Terceiros - Pessoa Jurídic";"-1";"Sem informação";"-1";"Sem informação"
"413010412312020NS000091";"2020NS000091";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"41231";"Agêncial Nacional de Telecomunicações";"413010";"AGENCIA NACIONAL DE TELECOMUNICACOES-CE";"41231";"AGENCIA NACIONAL DE TELECOMUNICACOES";"11502318000197";"CARVALHO MIRANDA EMPREENDIMENTOS EIRELI";"NOTA DE LANCAMENTO GERADA PELO SIADS ATRAVES DE ENTRADA DE MATERIAL PERMANENTE - COMPRA ENTRADA 389/000 UG DE ORIGEM 413010.";"4";"DESPESAS DE CAPITAL";"4";"Investimentos";"90";"Reserva de Contingência";"52";"Equipamentos e Material Permanente";"0000";"ADMINISTRACAO DA UNIDADE - DESPESAS DIVERSAS";"00";"NAO ATRIBUIDO"
"120629000012020NS000583";"2020NS000583";"01/01/2020";"NS";"Nota de Lançamento de Sistema";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120629";"GRUPAMENTO DE APOIO DE CANOAS";"00001";"TESOURO NACIONAL";"14465067000106";"CENTRAL DISTRIBUIDORA E COMERCIO DE PRODUTOS LTDA";"APL: GAP-CO - NF 6830 DE 11/12/2019  UG. 120629 GAP-CO PROCESSO 67278.008694/2018-81. NF DO DIA 11/12/2019, A ALTERACAO SE DA DEVIDO AO FECHAMENTO DO SISTEMA, ONDE O MESMO NAO PERMITE LANCAR COM A DATA RETROATIVA.";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Reserva de Contingência";"30";"Material de Consumo";"0006";"ALIMENTACAO DE MILITARES EM RANCHO";"00";"NAO ATRIBUIDO"
